run_id,cycle_id,cycle_start_time,cycle_end_time,cycle_time_sec,avg_vfd1_temp,avg_vfd2_temp,avg_vfd3_temp,avg_vfd4_temp,avg_r01_load,min_r01_load,max_r01_load,avg_r02_load,min_r02_load,max_r02_load,avg_r03_load,min_r03_load,max_r03_load,avg_r04_load,min_r04_load,max_r04_load,stopper1_active_count,stopper2_active_count,stopper3_active_count,stopper4_active_count,stopper5_active_count,defect_label,defect_flag
1,1,"2023-12-11 13:04:12.348","2023-12-11 13:09:07.045",294,71.23342426932766,-1.3703844640434603e34,-9.21649053737538e33,2.7001356852714587e26,492.25440976933515,16,684,1316.415196743555,1243,1369,1907.7951153324288,1285,9842,3449.9155359565807,1366,13917,169,645,15,15,56,NULL,0
1,2,"2023-12-11 13:09:07.143","2023-12-11 13:14:02.039",294,75.76404669366445,3.1023697661318236e34,1.5984918243964033e31,-2.1525547716619996e27,495.9505084745763,134,754,1315.6410169491526,1257,1364,1893.3403389830507,1311,9724,3497.5538983050847,1401,13868,168,644,15,16,56,NULL,0
1,3,"2023-12-11 13:14:02.154","2023-12-11 13:18:57.142",294,78.82362586454052,-6.456377283087321e29,5.120402568792647e34,-8.300745726579011e28,493.3647457627119,104,720,1315.4050847457627,1225,1367,1893.504406779661,1309,10270,3580.584745762712,1333,13707,169,644,15,15,55,NULL,0
2,1,"2023-12-11 13:49:56.648","2023-12-11 13:54:50.838",294,73.86343976148474,-1.111724288481937e29,-1.2640145837580667e34,-5.704414879252463e32,492.9038396194359,122,663,1314.8301053346925,1234,1368,1864.1124702684335,1317,9652,3563.2915392456675,1511,14086,169,644,15,15,51,NULL,0
2,2,"2023-12-11 13:54:50.976","2023-12-11 13:59:46.161",295,78.01671760280155,-6.30371996926466e33,9.776341318783825e34,9.113340196252366e32,467.20569298542864,16,657,1312.0491358861402,1231,1364,1904.6618095560827,1298,9997,2733.8447983734327,333,13711,168,644,15,15,55,NULL,0
2,3,"2023-12-11 13:59:46.250","2023-12-11 14:04:46.847",300,80.83595917374404,-2.658901744367441e33,-2.809025377350636e30,1.950083194683913e32,503.18901830282863,179,714,1316.0133111480866,1248,1381,1895.1517470881863,1321,9866,547.4851913477537,253,812,169,645,15,15,108,NULL,0
2,4,"2023-12-11 14:04:46.959","2023-12-11 14:09:45.157",298,82.75157723127779,-3.5543436476933846e34,3.739121987235241e34,1.979721303950762e32,502.493127723768,196,642,1315.2889708347302,1250,1365,1900.4223935635266,1313,9487,553.2034864230641,294,823,173,643,15,15,56,NULL,0
2,5,"2023-12-11 14:09:45.248","2023-12-11 14:14:40.757",295,84.10702576136372,-1.1661706409341203e33,-1.099459068051405e30,1.9755013115851408e32,492.66102841677946,192,656,1315.163058186739,1252,1363,1902.8024357239512,1295,10532,555.7784167794316,304,822,168,644,15,15,55,NULL,0
2,6,"2023-12-11 14:14:40.851","2023-12-11 14:19:43.355",302,85.17422222278088,-3.536096215069386e34,2.187885993400581e32,1.3119839481033604e32,497.4438202247191,247,662,1314.5634500991407,1257,1367,1874.9983476536681,1305,9363,556.7115003304692,293,848,169,644,15,15,55,NULL,0
3,0,"2023-12-11 14:27:07.147","2023-12-11 14:27:20.260",13,83.01926462106046,1816.6732530144516,82.63087503825753,4.818181818181818e28,492.68939393939394,292,601,1318.9621212121212,1283,1353,1373.5,1348,1403,538.219696969697,433,732,0,0,0,0,0,NULL,0
3,1,"2023-12-11 14:27:20.356","2023-12-11 14:32:39.360",319,83.60380610191015,-1.9084905528511896e28,-2.568970173845503e33,6.686991616937791e33,496.26888122845503,109,662,1315.0582889376371,1243,1379,1873.0987151363208,1323,10127,567.5126919460984,287,830,168,644,15,15,56,NULL,0
3,2,"2023-12-11 14:32:39.463","2023-12-11 14:37:34.662",295,85.35569869852203,-6.750526560075068e34,1.4430846138076834e34,-1.247130828253081e35,492.824864498645,202,725,1314.7967479674796,1235,1373,1904.6521002710026,1307,9719,570.9525745257453,304,851,168,644,15,15,56,NULL,0
3,3,"2023-12-11 14:37:34.663","2023-12-11 14:42:29.563",294,86.33229915857218,-5.051958189722105e34,-8.658324851742965e34,-7.903728476248038e32,488.2441505595117,42,667,1313.3848762292303,1252,1364,1888.9298067141403,1302,9309,571.1312309257376,265,851,168,644,15,15,55,NULL,0
3,4,"2023-12-11 14:42:29.775","2023-12-11 14:47:34.552",304,86.83857589580673,5.757361245486949e33,-1.3431475405932521e35,-4.776877772103358e29,490.7754098360656,166,813,1313.0937704918033,1256,1355,1889.495081967213,1309,10429,569.2918032786886,273,845,239,644,14,16,55,NULL,0
3,5,"2023-12-11 14:47:34.776","2023-12-11 14:52:37.056",302,87.31531193391707,-3.5370535239669053e34,8.59508800292089e30,-6.58571900890478e32,491.25388429752064,196,716,1313.3014876033058,1239,1387,1889.027438016529,1310,9930,570.294214876033,281,831,168,685,15,15,55,NULL,0
3,6,"2023-12-11 14:52:37.163","2023-12-11 14:57:32.144",294,87.82398812159217,-1.5530117153930515e29,-7.219888523360663e34,-2.8925830507995285e34,491.4725423728814,233,658,1314.6006779661018,1266,1373,1886.1183050847458,1309,9221,571.762033898305,169,894,169,644,15,15,55,NULL,0
